user_id,control_hit,treat_hit
4169,0,1
1680,0,1
4277,0,1
1941,0,1
1181,0,1
889,0,1
3618,0,1
2063,0,1
1150,0,1
1015,0,1
5795,0,1
4344,0,1
1980,0,1
2909,0,1
1449,0,1
4510,0,1
424,0,1
4227,0,1
5831,0,1
3391,0,1
3841,0,1
4508,0,1
1088,0,1
5367,0,1
3808,0,1
549,0,1
1285,0,1
3224,0,1
3539,0,1
4543,0,1
5643,0,1
1448,0,1
752,0,1
3032,0,1
3824,0,1
524,0,1
4448,0,1
4064,0,1
4725,0,1
1010,0,1
5954,0,1
678,0,1
1447,0,1
4447,0,1
2116,0,1
550,0,1
1605,0,1
3526,0,1
1698,0,1
1880,0,1
1912,0,1
3778,0,1
4808,0,1
3292,0,1
4425,0,1
1019,0,1
3507,0,1
3311,0,1
2181,0,1
881,0,1
6016,0,1
2015,0,1
2106,0,1
2820,0,1
5812,0,1
4647,0,1
6036,0,1
710,0,1
4312,0,1
1647,0,1
4979,0,1
2777,0,1
5026,0,1
2304,0,1
4386,0,1
352,0,1
5046,0,1
531,0,1
1676,0,1
1051,0,1
2507,0,1
3163,0,1
3626,0,1
5100,0,1
1958,0,1
2907,0,1
3675,0,1
5394,0,1
5636,0,1
4041,0,1
869,0,1
5333,0,1
1733,0,1
5614,0,1
3401,0,1
3272,0,1
4085,0,1
2665,0,1
3067,0,1
5256,0,1
5788,0,1
482,0,1
3471,0,1
195,0,1
3829,0,1
1383,0,1
3792,0,1
4238,0,1
5627,0,1
2529,0,1
1340,0,1
5111,0,1
1317,0,1
2857,0,1
1613,0,1
216,0,1
1635,0,1
3705,0,1
2793,0,1
302,0,1
3650,0,1
4682,0,1
4482,0,1
1837,0,1
1425,0,1
1737,0,1
839,0,1
1835,0,1
1632,0,1
4083,0,1
4021,0,1
1579,0,1
245,0,1
329,0,1
5074,0,1
3029,0,1
770,0,1
1899,0,1
1117,0,1
1451,0,1
2109,0,1
5880,0,1
4957,0,1
4387,0,1
3999,0,1
1203,0,1
5605,0,1
4140,0,1
1120,0,1
2010,0,1
3410,0,1
5387,0,1
2092,0,1
4048,0,1
2544,0,1
3821,0,1
1422,0,1
3491,0,0
1266,0,1
5433,0,1
5511,0,1
509,0,1
319,0,1
2986,0,1
5312,0,1
5220,0,1
5054,0,1
1264,0,1
3768,0,1
1470,0,1
3308,0,1
1884,0,1
3476,0,1
5916,0,1
3934,0,1
660,0,1
4089,0,1
4728,0,1
1812,0,1
3610,0,1
2878,0,1
984,0,1
4579,0,1
3589,0,1
4305,0,1
4732,0,1
53,0,1
1354,0,1
2077,0,1
3562,0,1
1943,0,1
1112,0,1
4016,0,1
1303,0,1
5763,0,1
699,0,1
543,0,1
202,0,1
3842,0,1
3681,0,1
3336,0,1
3519,0,1
721,0,1
